@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
2704,'2017/04/09 16:42:00:579',23,0.663025,-0.190186,0.10321,-0.716614,-1.521868,0.136137,-0.41573,1,-1
2705,'2017/04/09 16:42:00:601',23,0.662964,-0.189941,0.103088,-0.716797,-1.52152,0.13603,-0.415187,1,-1
2706,'2017/04/09 16:42:00:617',23,0.663147,-0.189758,0.102905,-0.716675,-1.521869,0.135926,-0.414674,1,-1
2707,'2017/04/09 16:42:00:641',23,0.663208,-0.189758,0.102661,-0.716675,-1.522032,0.13624,-0.414331,1,-1
2708,'2017/04/09 16:42:00:661',23,0.663086,-0.189697,0.102478,-0.716858,-1.521658,0.136492,-0.413956,1,-1
2709,'2017/04/09 16:42:00:677',23,0.663086,-0.189575,0.102112,-0.716919,-1.521561,0.136829,-0.413234,1,-1
2710,'2017/04/09 16:42:00:698',23,0.663086,-0.189514,0.101868,-0.716919,-1.521509,0.137067,-0.412777,1,-1
2711,'2017/04/09 16:42:00:721',23,0.663025,-0.189392,0.101746,-0.717041,-1.521253,0.137113,-0.412409,1,-1
2712,'2017/04/09 16:42:00:737',23,0.662842,-0.189148,0.101624,-0.717346,-1.520579,0.137077,-0.411846,1,-1
2713,'2017/04/09 16:42:00:758',23,0.662842,-0.188843,0.10144,-0.717407,-1.520344,0.136904,-0.411117,1,-1
2714,'2017/04/09 16:42:00:780',23,0.662781,-0.188599,0.10144,-0.71759,-1.52,0.136632,-0.410757,1,-1
2715,'2017/04/09 16:42:00:805',23,0.662781,-0.188538,0.101501,-0.717529,-1.51995,0.136439,-0.410743,1,-1
2716,'2017/04/09 16:42:00:818',23,0.662598,-0.188293,0.10144,-0.717773,-1.519275,0.136297,-0.41026,1,-1
2717,'2017/04/09 16:42:00:841',23,0.66272,-0.18811,0.101379,-0.717712,-1.519464,0.136065,-0.40992,1,-1
2718,'2017/04/09 16:42:00:857',23,0.662781,-0.18811,0.101379,-0.717712,-1.519632,0.136053,-0.409941,1,-1
2719,'2017/04/09 16:42:00:878',23,0.66272,-0.187988,0.10144,-0.717773,-1.519376,0.13583,-0.409836,1,-1
